transaction_id,customer_id,store_id,transaction_date,total_amount,customer_phone
T000001,C00734,S00611,03-11-2024 01:40,225.44,3427221898
T000002,C01936,S03982,09-06-2024 15:29,638.87,3452025405
T000003,C00706,S02980,28-12-2023 08:48,1505.08,6678714792
T000004,C01151,S03730,12-11-2024 13:21,1283.28,9135128918
T000005,C01077,S03785,25-01-2024 20:38,1115.7,874354622
T000006,C04014,S01815,16-07-2025 14:02,427.72,7257087483
T000007,C04927,S03254,16-03-2024 23:20,1565.28,5597845128
T000008,C02023,S03533,09-02-2025 22:55,1789.06,2945159422
T000009,C04125,S01537,23-12-2023 23:08,1349.53,7876119579
T000010,C01689,S01526,30-12-2023 19:37,1304.34,582749192
T000011,C01137,S02334,13-02-2025 04:47,1897.77,3662885061
T000012,C04622,S04121,25-04-2024 23:08,1431.31,1957373884
T000013,C04074,S02843,09-04-2025 00:15,725.52,2157853568
T000014,C00907,S04036,04-06-2025 11:04,1714.05,281935201
T000015,C02558,S01114,10-01-2024 15:19,143.95,1707443474
T000016,C01866,S00667,30-11-2024 03:04,1069.3,2271007501
T000017,C00630,S01750,18-04-2025 17:31,352.08,8791317196
T000018,C00688,S01834,08-12-2024 17:46,210.11,806553963
T000019,C03926,S01074,18-05-2024 06:06,925.69,5512200446
T000020,C01461,S04366,04-01-2025 10:04,833.93,2620294701
T000021,C02339,S04641,29-12-2024 03:55,933.66,763316445
T000022,C01518,S01924,14-10-2024 01:25,1370.41,1326172082
T000023,C04196,S04469,20-07-2024 22:14,1270.14,3583389747
T000024,C04433,S04178,07-04-2025 05:00,127.48,4904186779
T000025,C02437,S02223,06-05-2024 07:35,1160.75,4996245137
T000026,C00171,S03439,31-10-2024 09:43,197.35,3131975180
T000027,C01471,S01522,27-12-2023 15:37,1889.67,6296599679
T000028,C01931,S00652,21-01-2024 22:42,1306.98,4636031590
T000029,C02813,S02432,09-10-2024 11:47,1850.9,8085275340
T000030,C03549,S02576,22-09-2024 09:53,1638.32,1272223638
T000031,C03021,S02550,07-05-2024 10:50,947.93,5232635492
T000032,C02933,S00731,25-07-2024 06:58,577.47,9887841248
T000033,C00305,S01550,31-10-2025 00:19,1729.14,5473433341
T000034,C03463,S04690,13-04-2024 15:47,898.92,1504276320
T000035,C04256,S02288,11-11-2024 14:33,532.79,5040661335
T000036,C02017,S00012,13-06-2024 22:17,713.16,1006696663
T000037,C04765,S02668,08-03-2025 11:47,248.72,231290235
T000038,C01781,S04047,15-01-2025 04:59,1037.65,8377203231
T000039,C01973,S02426,28-02-2024 03:24,720.42,2340053595
T000040,C03067,S02190,11-03-2024 22:19,441.1,4500557241
T000041,C04497,S04020,20-06-2024 15:43,1867.26,4796476410
T000042,C02213,S01248,29-09-2025 17:48,663.03,2043097360
T000043,C03249,S00828,05-02-2024 16:36,1481.74,7338846913
T000044,C03976,S04374,15-09-2025 16:43,1609.4,29602106
T000045,C01967,S01388,18-11-2025 06:26,698.91,17486535
T000046,C02841,S04365,04-02-2024 14:11,1984.59,8326912987
T000047,C00864,S03789,07-05-2024 14:33,1352.46,1535896964
T000048,C04334,S03868,12-04-2025 23:55,1257.04,7392302704
T000049,C03409,S01122,14-09-2025 04:58,1047.26,7187684004
T000050,C00052,S00049,02-03-2025 03:20,297.82,2150524593
T000051,C01803,S03328,31-03-2025 11:32,1448.79,5480432677
T000052,C03433,S02111,25-09-2024 07:59,1073.58,8878699618
T000053,C04487,S02366,11-08-2025 06:28,1379.55,6567882732
T000054,C04971,S01090,03-01-2024 21:00,1481.04,6645298149
T000055,C01713,S01451,03-04-2024 15:57,128.81,8324857368
T000056,C04284,S02487,09-06-2025 05:19,75.96,6893569386
T000057,C04412,S04462,04-04-2024 14:26,942.31,4090820933
T000058,C00813,S01901,23-05-2025 19:54,1052.42,4854057923
T000059,C03760,S01650,15-03-2024 18:40,418.96,352448566
T000060,C02696,S03054,22-01-2024 13:03,370.46,6467677361
T000061,C00165,S02800,18-04-2025 20:51,942.88,9776460435
T000062,C02074,S04517,01-11-2024 15:32,226.44,3779983224
T000063,C03113,S00966,30-11-2023 11:46,499.45,2553335206
T000064,C01177,S03260,17-02-2024 19:44,770.48,1870803614
T000065,C01054,S04088,12-06-2025 20:23,283.11,2392491018
T000066,C01914,S00844,27-12-2023 22:38,1912.3,7905828909
T000067,C00382,S04440,22-02-2025 22:48,1656.12,9542376237
T000068,C02717,S03932,06-07-2024 21:32,259.89,6912827941
T000069,C03599,S00410,25-07-2025 19:05,1272.59,3433049715
T000070,C03950,S03231,27-11-2024 13:24,410.23,2216229930
T000071,C00993,S04060,10-02-2025 07:26,400.47,9354560574
T000072,C03813,S00392,16-06-2024 07:30,665.79,3245365937
T000073,C03091,S04553,04-06-2024 19:18,1268.3,3888101525
T000074,C00983,S04601,25-12-2023 13:00,210.87,4904514190
T000075,C00280,S02183,12-01-2024 05:57,1367.59,1095392026
T000076,C00190,S00102,22-05-2024 00:41,1112.4,3908078848
T000077,C03910,S02759,02-09-2024 10:17,1502.53,7611848495
T000078,C04444,S00264,04-06-2024 15:51,771.02,6433906792
T000079,C03438,S03773,30-07-2025 11:43,1561.74,3119122470
T000080,C02598,S04936,21-04-2025 04:34,501.88,690807875
T000081,C03378,S00764,13-02-2024 21:30,89.31,7478363857
T000082,C01374,S04697,05-11-2024 02:38,1129.9,1172322663
T000083,C03407,S04795,12-09-2025 11:25,887.87,3977226785
T000084,C01891,S03567,21-09-2024 05:16,654.6,5608850313
T000085,C04641,S00317,13-04-2025 16:59,1199.7,5269808429
T000086,C00564,S00753,23-07-2024 12:47,1699.97,7576663111
T000087,C02781,S00307,19-09-2024 21:49,651.6,1203074918
T000088,C03513,S04196,26-02-2025 19:39,127.62,4632921136
T000089,C02348,S01215,30-10-2024 13:23,283.58,7226958067
T000090,C03145,S03030,10-04-2025 04:15,1272.61,9626388447
T000091,C00078,S03294,12-06-2024 12:17,266.54,2009095543
T000092,C04962,S01898,09-11-2025 15:32,1295.75,4400234170
T000093,C00383,S02624,02-10-2025 16:07,1458.36,4578604024
T000094,C02643,S00223,12-07-2024 16:02,312.27,6694830533
T000095,C01611,S04113,24-07-2024 17:22,409.5,4938689433
T000096,C01445,S00863,24-05-2024 21:43,1772.37,1047112299
T000097,C02458,S02881,18-06-2024 12:25,892.09,3155006677
T000098,C02587,S02954,09-09-2024 06:36,1382.73,5891342374
